번호,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1439837,아리랑스넥,영업/정상,강원도 원주시 중앙동 56-44번지 자유시장 지층 2부럭6호,284033.921552232,428036.658847502,분식
1439838,형제스낵,영업/정상,강원도 원주시 중앙동 56-44번지 자유시장 지층 1부럭5호,284033.921552232,428036.658847502,분식
1439839,대교감자탕,영업/정상,강원도 원주시 명륜동 819-8,283676.497130258,425730.025920542,한식
1439840,일산교동짬뽕,영업/정상,강원도 원주시 일산동 208-2,283785.703973302,428097.364454902,분식
1439841,장원식당,영업/정상,강원도 원주시 중앙동 56-22번지,284045.001874042,428060.544918072,한식
1439842,24시해장국,영업/정상,강원도 원주시 학성동 365-14번지,283703.359746556,428624.002190826,한식
1439843,엔젤,영업/정상,강원도 강릉시 교동 1865-5,365520.921591756,475315.571282728,정종/대포집/소주방
1439844,강릉전집,영업/정상,강원도 강릉시 교동 1890-3,365265.410576555,475004.260120555,분식
1439845,주식회사강릉명주도가,영업/정상,강원도 강릉시 명주동 19-2,366663.446127291,473727.109872253,식육(숯불구이)
1439846,강릉오빠,영업/정상,강원도 강릉시 성남동 51-146번지,367411.048509535,473989.780476724,호프/통닭
1439847,샘밭숯불구이,영업/정상,강원도 원주시 중앙동 62-63번지 중앙시장 다동 56호,284109.473540344,427956.298633781,한식
1439848,청춘꼬마김밥앤떡볶이본점,영업/정상,강원도 춘천시 석사동 880-1,265443.981660551,483538.273144829,분식
1439849,가리미김밥석사세경점,영업/정상,강원도 춘천시 효자동 300-24,264716.823162977,484780.98704178,분식
1439850,다족,영업/정상,강원도 춘천시 퇴계동 1008-6,265010.883493532,483239.068883208,탕류(보신용)
1439851,강릉진주식당,영업/정상,강원도 강릉시 지변동 251-1,365085.398710857,476198.879006874,한식
1439852,헤롱헤롱,영업/정상,강원도 강릉시 옥계면 현내리 357-13,379726.752926397,458381.102215067,호프/통닭
1439853,강원감자탕,영업/정상,강원도 춘천시 남산면 광판리 102,262570.567686474,471171.516604142,한식
1439854,대추나무막국수,영업/정상,강원도 춘천시 동면 감정리 530,269271.625643383,488685.812026964,한식
1439855,투다리그린점,영업/정상,강원도 춘천시 후평동 684-14,265412.570321582,486713.502307113,정종/대포집/소주방
1439856,우리가찜,영업/정상,강원도 강릉시 옥천동 278-3,367251.462065313,474664.325949577,복어취급
1439857,강남칼국수,영업/정상,강원도 강릉시 노암동 703-32,367044.612503627,473383.514624867,한식
1439858,대박이네,영업/정상,강원도 강릉시 옥천동 322-3,367478.262664625,474970.97439574,한식
1439859,강릉꼬막비빔밥풍호맛뜨락,영업/정상,강원도 강릉시 노암동 664-1,367112.171607605,472892.750835418,한식
1439860,커피하버,영업/정상,강원도 강릉시 주문진읍 주문리 312-682,360832.496578246,489367.926823677,기타
1439861,올리브,영업/정상,강원도 강릉시 난곡동 318-6,364904.106551598,478265.4681492,경양식
1439862,누룽지통닭구이강릉점,영업/정상,강원도 강릉시 입암동 269-2,368991.756468255,474409.300963668,호프/통닭
1439863,윤스커피초당점,영업/정상,강원도 강릉시 초당동 481번지,368147.672371612,478005.178067917,기타
