번호,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1379666,버거상점,영업/정상,제주특별자치도 제주시 구좌읍 월정리 539,180953.444978437,6570.35650271581,기타
1379688,금돗,영업/정상,제주특별자치도 서귀포시 성산읍 성산리 234-16,193646.503497433,-3459.50496895536,한식
1379828,하마보,영업/정상,제주특별자치도 서귀포시 성산읍 고성리 1196-2 태양약국,191960.432963826,-5087.82681485397,분식
1379991,353숯불갈비,영업/정상,제주특별자치도 제주시 조천읍 선흘리 2497-13,172182.060012997,1652.67775317162,식육(숯불구이)
1379992,하타나카연동점,영업/정상,제주특별자치도 제주시 연동 292-57,152981.831144421,-751.407566905077,한식
1379993,하이하이볼,영업/정상,제주특별자치도 제주시 구좌읍 월정리 417,180670.602524136,6652.17435242269,기타
1379994,제주고길,영업/정상,제주특별자치도 제주시 도두이동 1645,151039.859597993,1555.81823825372,기타
1380019,라산그룹제주월드컵경기장점,영업/정상,제주특별자치도 서귀포시 법환동 914,154166.130335479,-27615.1899714559,호프/통닭
1380020,미스카페,영업/정상,제주특별자치도 서귀포시 남원읍 태흥리 360,176763.155794684,-22971.8402511782,패밀리레스트랑
1380021,사계724,영업/정상,제주특별자치도 서귀포시 안덕면 사계리 724,135494.076094081,-27186.8061514157,패밀리레스트랑
1380057,마농밭,영업/정상,제주특별자치도 서귀포시 대정읍 동일리 2713,129224.560007341,-29274.0996935355,한식
1380067,위이,영업/정상,제주특별자치도 서귀포시 안덕면 동광리 5-34,140241.775666667,-20190.2436666669,"외국음식전문점(인도,태국등)"
1380068,펄(Pearl)호프,영업/정상,제주특별자치도 서귀포시 성산읍 고성리 1174-3,191780.562581302,-4924.62127251511,호프/통닭
1380069,밀류,영업/정상,제주특별자치도 서귀포시 표선면 표선리 1461-1,183939.10043709,-19891.6228556616,경양식
1380077,도원꼬치튀김객,영업/정상,제주특별자치도 제주시 연동 284-19,152709.537217436,-1196.30175721734,중국식
1380092,홍중로오십사(54),영업/정상,제주특별자치도 서귀포시 서홍동 340-3,158660.18540818,-26414.4785189369,한식
1380093,더구두미,영업/정상,제주특별자치도 서귀포시 보목동 1233,162213.077311771,-27950.7531581478,경양식
1380345,무인제주,영업/정상,제주특별자치도 제주시 애월읍 금성리 472-8,134980.091280755,-5090.14957258882,패밀리레스트랑
1380346,설록,영업/정상,제주특별자치도 제주시 한경면 저지리 2868-7,131182.454566182,-18996.7300911643,한식
1380347,완미족발제주연동점,영업/정상,제주특별자치도 제주시 연동 273-58,152603.339164401,-975.943281943601,한식
1380348,우피후피,영업/정상,제주특별자치도 제주시 한림읍 옹포리 393-9,130741.134103992,-9741.14162303716,기타
1380349,시에나컨트리클럽스타트하우스,영업/정상,제주특별자치도 제주시 영평동 2238-2,160548.194474376,-7514.39267197382,한식
1380350,윌리스,영업/정상,제주특별자치도 제주시 삼양이동 2137-16,161484.922461943,2901.18425587388,기타
1380411,홍회장보말칼국수,영업/정상,제주특별자치도 서귀포시 안덕면 동광리 1602,137813.555130259,-20453.1929413576,한식
1380536,수미돼지집,영업/정상,제주특별자치도 제주시 일도이동 362-23,156847.584370739,989.798031341714,식육(숯불구이)
1380537,송도옥,영업/정상,제주특별자치도 제주시 용담이동 445,154732.426292578,2201.70930637387,한식
1380538,애월삼육공,영업/정상,제주특별자치도 제주시 애월읍 신엄리 920 에뜨왈호텔,141519.762381103,-1882.07029177374,한식
1380539,롱플레이,영업/정상,제주특별자치도 제주시 구좌읍 동복리 1456-1,173080.010328515,6323.73552476283,기타
1380540,영희네식당,영업/정상,제주특별자치도 제주시 삼도이동 227,155682.79555821,1335.9127044477,한식
1380541,고양이선장카페,영업/정상,제주특별자치도 제주시 우도면 연평리 2631-1,194726.813020888,-75.8548729067208,한식
1380542,신마라본색칠성점,영업/정상,제주특별자치도 제주시 일도일동 1340-1,155896.328331218,2078.33573412058,중국식
1380543,라멘쿠다사이,영업/정상,제주특별자치도 제주시 용담이동 445,154732.426292578,2201.70930637387,한식
1380572,오늘저녁,영업/정상,제주특별자치도 제주시 삼도일동 572-24,155442.453477632,451.518341665701,한식
1380573,월림공간올드보이,영업/정상,제주특별자치도 제주시 한림읍 월림리 115-99,131772.771486065,-16827.7386418494,기타
